request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000.00 today."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670.00 today."
request_28,329.01,affordable_later,wait,2024-08-15:1302.4,2024-08-15,none,"Pay EUR 1,302.40 in full on 2024-08-15."
request_29,34237.81,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,524.00 request. None of the available options keeps the required minimum balance protected."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06."
request_31,3816434.56,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,"Pay IDR 18,164,000.00 in full on 2024-09-15."
request_32,19401.88,affordable_later,wait,2025-04-15:40018,2025-04-15,none,"Pay ZAR 40,018.00 in full on 2025-04-15."
request_33,43637.32,affordable_later,wait,2026-02-15:118000,2026-02-15,none,"Pay INR 118,000.00 in full on 2026-02-15."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400.00 today."
request_35,33281.95,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000.00 in full on 2026-01-15."
request_36,921.23,affordable_later,wait,2026-08-15:3954,2026-08-15,none,"Pay USD 3,954.00 in full on 2026-08-15."
request_37,5533633.52,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Pay IDR 14,649,000.00 in full on 2024-05-15."
request_38,252.7,affordable_later,wait,2025-09-15:971.3,2025-09-15,none,Pay EUR 971.30 in full on 2025-09-15.
request_39,130447.42,affordable_later,wait,2026-04-15:208600,2026-04-15,none,"Pay INR 208,600.00 in full on 2026-04-15."
request_40,417.12,affordable_later,wait,2024-08-15:1290.3,2024-08-15,none,"Pay EUR 1,290.30 in full on 2024-08-15."
request_41,11655650.34,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,"Pay IDR 38,760,000.00 in full on 2025-11-15."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100.00 today."
request_43,9868266.98,affordable_later,wait,2024-10-15:43339000,2024-10-15,none,"Pay IDR 43,339,000.00 in full on 2024-10-15."
request_44,27706.17,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Pay INR 95,800.00 in full on 2025-04-15."
request_45,6423770.75,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Pay IDR 21,983,000.00 in full on 2026-09-15."
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Use 2 installments of INR 25,714.00, starting 2024-12-03."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000.00 today."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700.00 today."
request_49,13270531.61,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,"Use 3 installments of IDR 11,902,106.67, starting 2024-03-18."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900.00 today."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000.00 today."
request_52,26530.0,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870.00 in full on 2024-06-15."
request_53,569.39,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-15,none,"Use 3 installments of USD 589.06, starting 2025-11-21."
request_54,10088.84,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528.00 request. None of the available options keeps the required minimum balance protected."
request_55,132540.36,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75,781.33, starting 2026-06-11."
request_56,777.1,affordable_with_plan,partial_payment,2025-02-03:777.1|2025-02-15:104.46,2025-02-15,none,Pay USD 777.10 today and remaining USD 104.46 on 2025-02-15.
request_57,14724.02,affordable_later,wait,2026-05-15:61446,2026-05-15,none,"Pay ZAR 61,446.00 in full on 2026-05-15."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000.00 today."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 2025-05-07."
request_60,168.22,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 2026-01-15.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 2024-03-17."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today.
request_63,48621.0,affordable_with_plan,partial_payment,2026-07-07:48621|2026-09-15:295279,2026-09-15,none,"Pay INR 48,621.00 today and remaining INR 295,279.00 on 2026-09-15."
request_64,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 63,700.00 request. None of the available options keeps the required minimum balance protected."
request_65,8359.38,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340.00 request. None of the available options keeps the required minimum balance protected."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200.00 today."
request_67,424.23,affordable_later,wait,2024-09-15:2094,2024-09-15,none,"Pay USD 2,094.00 in full on 2024-09-15."
request_68,1443.14,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-23,none,"Use 3 installments of USD 725.09, starting 2025-02-14."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.10 today.
request_70,59952.21,affordable_later,wait,2025-01-15:243900,2025-01-15,none,"Pay INR 243,900.00 in full on 2025-01-15."
request_71,908657.37,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,451,000.00 request. None of the available options keeps the required minimum balance protected."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330.00 today."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400.00 today."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010.00 today."
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 2026-04-09."
request_76,708.96,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 4,455.60 request. None of the available options keeps the required minimum balance protected."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700.00 today."
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"Pay INR 50,200.00 today."
request_79,662.21,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,151.60 request. None of the available options keeps the required minimum balance protected."
request_80,116483.22,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 217,500.00 request. None of the available options keeps the required minimum balance protected."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076.00 today."
request_82,415.59,affordable_later,wait,2025-02-15:1405.2,2025-02-15,none,"Pay USD 1,405.20 in full on 2025-02-15."
request_83,9740.32,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156,200.00 request. None of the available options keeps the required minimum balance protected."
request_84,34861.38,affordable_later,wait,2026-05-15:95400,2026-05-15,none,"Pay INR 95,400.00 in full on 2026-05-15."
request_85,1266605.2,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000.00 request. None of the available options keeps the required minimum balance protected."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300.00 today."
request_87,32263.56,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487,900.00 request. None of the available options keeps the required minimum balance protected."
